time,seconds_elapsed,z,y,x
1716404131100586500,138.44558642578124,0.977813720703125,1.2408294677734375,0.6270904541015625
1716404131110718500,138.45571850585938,1.083282470703125,1.15240478515625,0.5141754150390625
1716404131120850200,138.46585009765624,1.103515625,0.951080322265625,0.3405303955078125
1716404131130982100,138.47598217773438,1.0896759033203125,0.6272430419921875,0.1711578369140625
1716404131141113900,138.48611376953124,1.0395965576171875,0.6815643310546875,0.1019134521484375
1716404131151245800,138.49624584960938,0.8031158447265625,1.3537445068359375,0.2617034912109375
1716404131161377500,138.50637744140624,0.5836639404296875,1.8810577392578125,0.6239013671875
1716404131171509500,138.51650952148438,0.54852294921875,1.7862396240234375,0.7879486083984375
1716404131181641200,138.52664111328124,0.53466796875,1.1161956787109375,0.8667755126953125
1716404131191773000,138.53677294921874,0.570892333984375,0.5452117919921875,0.885955810546875
1716404131201905000,138.54690478515624,0.6752777099609375,0.3491973876953125,0.8848876953125
1716404131212036600,138.55703662109374,0.8393402099609375,0.502593994140625,1.0254974365234375
1716404131222168600,138.56716845703124,1.057708740234375,0.7859649658203125,1.0819549560546875
1716404131232300300,138.57730029296874,1.2281494140625,0.7934112548828125,0.961578369140625
1716404131242432300,138.58743237304688,1.3069915771484375,0.5888824462890625,0.82843017578125
1716404131252564000,138.59756396484374,1.334686279296875,0.563323974609375,0.75811767578125
1716404131262696000,138.60769604492188,1.330413818359375,0.7284393310546875,0.7165679931640625
1716404131272827600,138.61782763671874,1.2707672119140625,0.8882293701171875,0.6835479736328125
1716404131282959600,138.62795971679688,1.185546875,0.8871612548828125,0.646270751953125
1716404131293091300,138.63809130859374,1.1333465576171875,0.685821533203125,0.589813232421875
1716404131303223300,138.64822338867188,1.1344146728515625,0.422698974609375,0.5120391845703125
1716404131313355000,138.65835498046874,1.1344146728515625,0.2362823486328125,0.4577178955078125
1716404131323487000,138.66848706054688,1.115234375,0.220306396484375,0.453460693359375
1716404131333618700,138.67861865234374,1.102447509765625,0.3715667724609375,0.472625732421875
1716404131343750700,138.68875073242188,1.1099090576171875,0.6112518310546875,0.486480712890625
1716404131353882400,138.69888232421874,1.1450653076171875,0.8509368896484375,0.507781982421875
1716404131364014300,138.70901440429688,1.2015228271484375,1.00860595703125,0.52056884765625
1716404131374146000,138.71914599609374,1.2579803466796875,1.0821075439453125,0.5152435302734375
1716404131384278000,138.72927807617188,1.2867431640625,1.097015380859375,0.4949951171875
1716404131394409700,138.73940966796874,1.287811279296875,1.040557861328125,0.453460693359375
1716404131404541700,138.74954174804688,1.2675628662109375,0.8850250244140625,0.4108428955078125
1716404131414673400,138.75967333984374,1.2025909423828125,0.7390899658203125,0.397003173828125
1716404131424805400,138.76980541992188,1.104583740234375,0.619781494140625,0.4321441650390625
1716404131434937000,138.77993701171874,0.9991302490234375,0.527099609375,0.4662322998046875
1716404131445069000,138.79006909179688,0.889404296875,0.516448974609375,0.41510009765625
1716404131455200800,138.80020068359374,0.808441162109375,0.515380859375,0.3107147216796875
